,strategy,benchmark
Start,2018-07-02 00:00:00,2018-07-02 00:00:00
End,2024-12-31 00:00:00,2024-12-31 00:00:00
Period,1636 days 00:00:00,1636 days 00:00:00
Start Value,100000.0,100000.0
End Value,229025.69454740392,239392.54665425332
Total Return [%],129.0256945474039,139.39254665425332
Benchmark Return [%],290.95663992663776,139.39254665425196
Max Gross Exposure [%],100.0,100.0
Total Fees Paid,11200.940131753308,0.0
Max Drawdown [%],31.242038453872656,33.71724306561376
Max Drawdown Duration,557 days 00:00:00,488 days 00:00:00
Total Trades,9311,1
Total Closed Trades,9311,0
Total Open Trades,0,1
Open Trade PnL,0.0,139392.54665425332
Win Rate [%],59.78949629470519,
Best Trade [%],90.13535962021356,
Worst Trade [%],-38.90165865472071,
Avg Winning Trade [%],10.425702044463888,
Avg Losing Trade [%],-7.362966957678742,
Avg Winning Trade Duration,32 days 18:53:59.805999640,
Avg Losing Trade Duration,33 days 16:01:55.384615384,
Profit Factor,1.6385928904971085,
Expectancy,13.857340194114823,
Sharpe Ratio,0.8202716432205371,0.9418022839403966
Calmar Ratio,0.6499995065430783,0.6376994834729874
Omega Ratio,1.1318807864018636,1.1609561760258338
Sortino Ratio,1.1614861218023176,1.3159572519427287
