,strategy,benchmark
Start,2018-07-02 00:00:00,2018-07-02 00:00:00
End,2024-12-31 00:00:00,2024-12-31 00:00:00
Period,1636 days 00:00:00,1636 days 00:00:00
Start Value,100000.0,100000.0
End Value,192373.88944821607,239392.62253413606
Total Return [%],92.37388944821609,139.39262253413605
Benchmark Return [%],290.95663992663776,139.39262253413585
Max Gross Exposure [%],100.0,100.0
Total Fees Paid,9158.185077824272,0.0
Max Drawdown [%],27.947011508104076,33.71725940589357
Max Drawdown Duration,621 days 00:00:00,488 days 00:00:00
Total Trades,6484,1
Total Closed Trades,6464,0
Total Open Trades,20,1
Open Trade PnL,-2377.6162095565596,139392.62253413606
Win Rate [%],63.335396039603964,
Best Trade [%],60.715281060096956,
Worst Trade [%],-35.92825256733468,
Avg Winning Trade [%],10.028124241144523,
Avg Losing Trade [%],-7.5860384170508315,
Avg Winning Trade Duration,30 days 09:13:37.782120176,
Avg Losing Trade Duration,34 days 13:26:53.164556962,
Profit Factor,1.6050927810939333,
Expectancy,14.658339365373259,
Sharpe Ratio,0.671684035848144,0.9418014227472986
Calmar Ratio,0.5623599112137805,0.6376994292593656
Omega Ratio,1.112935844971183,1.1609560305303936
Sortino Ratio,0.967527564469549,1.3159558293459874
