date,strategy,benchmark
2018-07-02,100000.0,100000.0
2018-07-03,100000.0,99646.87179723199
2018-07-05,100000.0,100459.81344124967
2018-07-06,100000.0,101309.49172778927
2018-07-09,100000.0,102221.70788809568
2018-07-10,100000.0,102589.54342661017
2018-07-11,100000.0,101839.196710679
2018-07-12,100000.0,102762.45605153298
2018-07-13,100000.0,102843.36541624517
2018-07-16,100000.0,102751.40653161655
2018-07-17,100000.0,103167.10430499565
2018-07-18,100000.0,103384.08822220705
2018-07-19,100000.0,102994.21703754827
2018-07-20,100000.0,102876.48227915016
2018-07-23,100000.0,103067.76005564952
2018-07-24,100000.0,103586.39016114738
2018-07-25,100000.0,104469.21700743627
2018-07-26,100000.0,104222.7486856745
2018-07-27,100000.0,103516.52397698276
2018-07-30,100000.0,102975.80117102088
2018-07-31,99850.17481269359,103483.42613218434
2018-08-01,100041.47878446174,103310.50716789266
2018-08-02,103066.5807574135,103873.32267431854
2018-08-03,103118.97020400008,104318.42877982173
2018-08-06,103968.78711938491,104700.97799345155
2018-08-07,104332.28525263935,105046.7271708709
2018-08-08,104525.98820363818,105002.54810931176
2018-08-09,104229.11059815525,104859.13256767704
2018-08-10,103143.50241542561,104156.5720141842
2018-08-13,103264.92138557837,103766.66913268114
2018-08-14,104100.06737136067,104428.75915539573
2018-08-15,102077.94885446232,103648.99776797161
2018-08-16,102370.52763452767,104487.56948027508
2018-08-17,101544.24011003571,104855.47475184698
2018-08-20,101661.8082397756,105079.8567125136
2018-08-21,102413.34217894379,105326.27431932453
2018-08-22,103061.54614498962,105263.72376682001
2018-08-23,103324.54263293973,105123.9850591219
2018-08-24,104396.03184312106,105756.64773160583
2018-08-27,105602.62713096033,106591.63136113666
2018-08-28,105858.41951243709,106643.14507246247
2018-08-29,106479.04244738836,107216.93402637848
2018-08-30,105998.74546732088,106782.91547700485
2018-08-31,105882.53355125392,106786.57963220376
2018-09-04,105162.80059538536,106602.63650547109
2018-09-05,102959.44741221987,106315.75470725079
2018-09-06,100919.77028924132,105995.76238549435
2018-09-07,101524.9037619794,105789.77727324853
2018-09-10,101982.77251871076,105973.71406061234
2018-09-11,101670.95507062406,106323.10837512404
2018-09-12,101101.27645751495,106348.84621268036
2018-09-13,102146.24424531964,106977.87642680967
2018-09-14,102548.80544176728,106996.2859539682
2018-09-17,100393.18339763669,106429.77459549913
2018-09-18,101697.81890496207,107007.26574082719
2018-09-19,100561.14963308004,107121.31098655096
2018-09-20,101620.73782622495,107989.42415772451
2018-09-21,101593.29655142232,107890.74554210827
2018-09-24,102243.80989221745,107532.34298445187
2018-09-25,101900.10072658966,107432.59935486778
2018-09-26,101285.2875560895,107111.11728143012
2018-09-27,101951.07651322469,107410.43692134637
2018-09-28,102846.92010424561,107421.46742315622
2018-10-01,102722.87469911473,107794.69142519851
2018-10-02,102158.95774258007,107731.86827983317
2018-10-03,102490.75861673984,107790.95119757333
2018-10-04,99864.36623352808,106948.52514900528
2018-10-05,98661.10382647038,106349.91756601707
2018-10-08,96872.79612129877,106349.91756601707
2018-10-09,96426.21668046035,106194.76785262945
2018-10-10,91918.99663740449,102832.2778601156
2018-10-11,90776.65758265766,100567.23404651866
2018-10-12,93574.65556355324,101963.94915040095
2018-10-15,92578.86959549056,101391.21887108393
2018-10-16,96196.62255262249,103608.21660811942
2018-10-17,96572.64291740183,103626.72756517964
2018-10-18,94136.97034438321,102130.22445613128
2018-10-19,92843.46218508578,102074.80569359002
2018-10-22,93280.99100884884,101616.64048824296
2018-10-23,92505.85916905581,101099.32263209834
2018-10-24,87264.07352137956,98036.12058265645
2018-10-25,90228.95882567094,99794.97847182033
2018-10-26,87423.41962621015,98039.81009533079
2018-10-29,86017.80974328682,97496.69734731011
2018-10-30,88597.78905172169,98941.41415217186
2018-10-31,90964.64028155428,99998.20595861367
2018-11-01,93172.08512691909,101062.37045103531
2018-11-02,92163.56231727985,100463.80090426025
2018-11-05,90637.50729867388,101018.04558399248
2018-11-06,90183.37306611495,101657.27584261147
2018-11-07,95140.85495693024,103833.61286780304
